ID,Date,Element,Data_Value
USC00207308,12/6/2010,TMIN,-44
USC00202308,8/30/2015,TMIN,156
USC00205563,1/3/2015,TMAX,22
USC00208202,11/12/2014,TMAX,167
USW00014853,3/9/2014,TMAX,33
USC00200230,5/26/2008,TMIN,156
USC00208202,5/4/2008,TMIN,44
USC00200228,1/20/2010,TMIN,-33
USC00200032,4/22/2006,TMIN,28
USW00014853,8/21/2014,TMIN,178
USC00202308,8/30/2015,TMAX,261
USC00205822,9/7/2008,TMIN,139
USC00202308,6/5/2011,TMAX,339
USC00202308,5/11/2006,TMIN,150
USW00004848,9/27/2005,TMIN,78
USC00203712,10/20/2010,TMIN,6
USC00208080,5/22/2014,TMAX,294
USC00205050,3/28/2011,TMIN,-89
USC00202308,12/18/2005,TMAX,-44
USW00004848,9/27/2005,TMAX,211
USC00200228,6/20/2012,TMAX,350
USC00200230,12/7/2009,TMAX,0
USC00200230,2/13/2007,TMIN,-117
USC00200230,4/1/2015,TMIN,-17
USC00205050,7/14/2009,TMAX,261
USC00208202,12/10/2014,TMAX,33
USC00200032,3/3/2010,TMIN,-39
USC00200228,12/21/2006,TMIN,-50
USC00207312,10/26/2010,TMAX,222
USW00094889,8/6/2005,TMIN,133
USW00004848,3/9/2013,TMIN,-32
USC00205563,3/7/2010,TMIN,-67
USC00205822,6/13/2012,TMAX,283
USC00200228,2/23/2008,TMIN,-122
USW00004848,12/8/2008,TMAX,11
USC00200230,2/13/2007,TMAX,-33
USW00094889,4/11/2012,TMIN,6
USC00207308,6/14/2014,TMIN,33
USW00014833,4/4/2007,TMAX,139
USC00208972,4/25/2011,TMAX,167
USC00200032,5/26/2008,TMIN,172
USC00200220,4/21/2011,TMIN,0
USW00014853,10/18/2008,TMAX,139
USC00202308,9/3/2007,TMIN,144
USC00208972,2/27/2013,TMAX,39
USC00200032,1/6/2014,TMAX,-72
USC00200220,1/24/2010,TMIN,-17
USC00200220,3/28/2013,TMAX,100
USW00004848,3/9/2013,TMAX,106
USC00200228,7/28/2006,TMAX,283
USC00200032,9/3/2014,TMIN,139
USW00014833,3/9/2013,TMAX,61
USC00203712,12/9/2009,TMIN,-17
USC00208202,4/5/2009,TMIN,-17
USC00205451,1/14/2012,TMAX,-17
USC00205451,1/14/2012,TMIN,-72
USC00202308,6/5/2011,TMIN,189
USC00203712,6/4/2011,TMIN,133
USW00014833,3/13/2005,TMAX,-6
USC00205050,3/20/2012,TMAX,261
USC00207312,6/27/2014,TMAX,267
USC00203712,6/4/2011,TMAX,256
USW00004848,4/9/2009,TMAX,156
USC00202308,9/3/2007,TMAX,272
USW00004848,12/18/2013,TMAX,-10
USC00200220,3/19/2012,TMIN,100
USC00208202,5/20/2009,TMIN,72
USC00208202,6/21/2012,TMIN,189
USC00207320,8/6/2007,TMAX,328
USC00201502,6/19/2008,TMIN,78
USC00205563,8/30/2013,TMAX,289
USC00200220,1/24/2010,TMAX,50
USW00014833,6/20/2012,TMIN,222
USW00014833,10/1/2010,TMIN,50
USC00207308,1/8/2012,TMIN,-56
USC00208202,1/14/2012,TMAX,-22
USC00208202,9/2/2007,TMAX,267
USC00200032,6/6/2015,TMAX,233
USC00207320,2/10/2007,TMIN,-172
USC00208202,9/2/2007,TMIN,128
USW00004848,12/5/2014,TMAX,50
USC00200032,12/13/2005,TMIN,-117
USC00200842,2/24/2008,TMIN,-128
USC00208202,12/10/2014,TMIN,-22
USC00203712,7/26/2009,TMIN,156
USW00014833,6/20/2012,TMAX,328
USW00014853,3/9/2014,TMIN,-71
USC00205822,7/18/2013,TMAX,344
USC00202308,3/13/2005,TMAX,17
USC00208080,8/20/2009,TMAX,278
USW00014853,5/17/2015,TMIN,183
USC00207320,4/19/2006,TMAX,172
USW00004848,9/8/2008,TMAX,267
USC00207308,1/1/2006,TMIN,-6
USC00200842,2/12/2005,TMIN,-67
USC00208972,3/27/2012,TMAX,83
USC00201502,4/30/2008,TMIN,-33
USC00208972,4/9/2015,TMAX,67
USC00200842,1/6/2012,TMIN,-39
USC00200032,12/15/2007,TMIN,-56
USC00205451,1/9/2006,TMIN,-22
USC00208202,5/4/2008,TMAX,211
USC00200220,4/29/2009,TMAX,139
USC00208972,4/29/2009,TMAX,161
USC00205822,9/30/2010,TMIN,94
USC00208202,6/3/2005,TMAX,267
USC00205050,1/5/2015,TMIN,-139
USC00205050,8/27/2013,TMIN,183
USC00200230,4/1/2015,TMAX,183
USC00208080,5/22/2014,TMIN,128
USW00094889,4/30/2008,TMIN,-49
USC00207308,6/14/2014,TMAX,206
USC00208080,8/20/2009,TMIN,156
USW00004848,12/5/2014,TMIN,6
USC00205563,3/3/2013,TMIN,-61
USC00208202,6/3/2005,TMIN,156
USC00205050,2/25/2014,TMIN,-128
USC00205563,12/7/2014,TMIN,-56
USW00014833,3/9/2013,TMIN,-33
USC00203712,7/17/2013,TMIN,217
USW00014853,10/18/2008,TMIN,17
USC00203712,3/17/2015,TMIN,11
USC00207308,6/29/2010,TMAX,311
USC00200842,2/24/2008,TMAX,11
USC00200842,1/18/2013,TMAX,39
USC00207320,2/3/2008,TMAX,22
USC00208202,2/27/2013,TMAX,6
USC00208972,4/16/2014,TMIN,-83
USC00200220,3/28/2013,TMIN,-33
USC00203712,10/20/2010,TMAX,150
USC00208972,5/27/2015,TMAX,278
USW00014853,6/21/2012,TMAX,367
USC00203712,7/21/2013,TMIN,156
USC00205050,7/14/2009,TMIN,94
USC00205451,1/9/2006,TMAX,56
USC00207308,6/25/2012,TMAX,311
USC00201250,1/21/2010,TMIN,-78
USC00205822,3/29/2006,TMAX,67
USW00004848,1/30/2009,TMAX,-27
USC00201250,5/14/2015,TMIN,22
USC00207308,4/16/2011,TMAX,128
USC00207312,5/24/2008,TMIN,56
USC00200220,3/19/2012,TMAX,233
USC00208202,10/3/2010,TMAX,111
USC00202308,6/14/2012,TMIN,100
USC00205451,10/7/2013,TMIN,72
USC00200032,7/16/2009,TMAX,278
USW00004848,10/8/2013,TMIN,50
USC00208202,10/22/2010,TMAX,122
USC00205451,4/1/2015,TMAX,72
USC00207320,4/19/2006,TMIN,33
USC00200032,3/3/2010,TMAX,33
USC00203712,5/16/2014,TMAX,100
USW00094889,4/19/2011,TMIN,6
USC00203712,10/17/2008,TMAX,189
USC00207312,8/31/2013,TMAX,322
USC00200228,6/14/2012,TMAX,250
USC00207312,6/27/2014,TMIN,144
USW00004848,4/19/2011,TMAX,72
USC00207320,12/28/2006,TMIN,-11
USC00208080,5/31/2011,TMIN,161
USW00014833,3/27/2012,TMAX,144
USC00207320,6/1/2011,TMAX,333
USC00208080,3/4/2009,TMIN,-111
USC00200032,4/22/2006,TMAX,239
USC00207312,1/24/2010,TMAX,17
USC00201502,4/30/2008,TMAX,100
USW00014853,8/28/2013,TMIN,217
USC00200228,6/14/2012,TMIN,72
USC00200220,8/21/2009,TMAX,267
USW00004848,4/28/2009,TMIN,78
USW00014833,4/4/2007,TMIN,-44
USC00200842,2/12/2005,TMAX,6
USC00201502,2/13/2007,TMAX,-94
USC00200842,1/19/2010,TMAX,-11
USC00202308,3/13/2005,TMIN,-89
USC00200230,11/24/2015,TMAX,67
USC00200032,1/22/2009,TMAX,-11
USC00208202,5/18/2009,TMIN,0
USC00205451,8/24/2013,TMIN,139
USC00202308,1/16/2010,TMAX,6
USC00207320,12/28/2006,TMAX,44
USC00205450,6/12/2005,TMAX,289
USC00207312,1/24/2010,TMIN,-11
USC00200228,10/16/2013,TMIN,39
USC00205050,3/8/2013,TMIN,-72
USC00200842,1/6/2012,TMAX,50
USC00205050,12/7/2008,TMAX,-50
USC00208202,4/16/2011,TMAX,128
USW00014833,7/28/2006,TMAX,283
USC00205050,1/17/2013,TMAX,33
USC00207308,4/18/2011,TMAX,94
USW00004848,1/30/2009,TMIN,-121
USC00205822,1/23/2013,TMAX,-117
USC00200228,1/7/2012,TMAX,128
USC00205563,5/14/2006,TMIN,72
USC00205050,3/8/2013,TMAX,33
USC00208202,3/8/2014,TMAX,61
USC00203712,1/6/2012,TMIN,17
USC00200220,8/21/2009,TMIN,161
USC00205822,12/9/2014,TMAX,56
USC00205822,11/11/2008,TMAX,17
USC00205563,1/19/2010,TMAX,-6
USC00208202,4/16/2011,TMIN,-11
USC00205822,6/26/2012,TMAX,267
USC00208972,3/20/2012,TMIN,106
USW00004848,4/14/2006,TMIN,133
USC00203712,5/16/2014,TMIN,6
USC00207312,6/14/2012,TMAX,250
USC00205050,1/17/2013,TMIN,-67
USC00207312,8/31/2013,TMIN,150
USC00208202,10/22/2010,TMIN,6
USC00208202,1/22/2009,TMAX,-28
USC00201250,3/28/2011,TMAX,39
USC00200842,10/22/2010,TMAX,111
USW00014853,3/7/2013,TMIN,-32
USC00201250,1/21/2010,TMAX,17
USC00207312,12/2/2010,TMIN,-61
USC00200032,8/6/2005,TMAX,306
USW00014853,4/19/2006,TMAX,217
USW00004848,11/20/2007,TMIN,111
USC00202308,6/28/2014,TMAX,283
USC00205822,11/11/2008,TMIN,-17
USC00200228,4/22/2011,TMAX,122
USC00203712,2/22/2008,TMIN,-83
USC00205822,9/15/2007,TMAX,239
USC00205451,3/27/2012,TMIN,-28
USC00208202,10/3/2010,TMIN,33
USC00205050,6/11/2005,TMIN,200
USC00205050,3/28/2011,TMAX,33
USC00205563,8/27/2015,TMAX,189
USC00207308,6/25/2012,TMIN,150
USC00201502,4/20/2006,TMIN,83
USC00201250,2/25/2014,TMIN,-117
USC00207312,3/12/2009,TMIN,-78
USC00205822,9/10/2015,TMAX,278
USC00208972,4/16/2014,TMAX,0
USC00208202,1/13/2005,TMIN,0
USC00208972,3/27/2012,TMIN,-33
USC00208202,3/8/2014,TMIN,-89
USC00208080,4/21/2011,TMAX,133
USC00205451,3/27/2012,TMAX,72
USC00208972,4/25/2011,TMIN,72
USC00207312,3/12/2009,TMAX,22
USC00207320,5/31/2008,TMAX,283
USC00205822,9/10/2015,TMIN,117
USC00208202,6/21/2012,TMAX,339
USC00205563,10/26/2010,TMAX,211
USC00208202,5/18/2009,TMAX,156
USC00200842,8/6/2005,TMAX,289
USC00202308,6/14/2012,TMAX,233
USW00004848,6/13/2012,TMAX,211
USC00208202,1/14/2012,TMIN,-78
USW00004848,12/14/2007,TMAX,17
USC00205563,10/26/2010,TMIN,139
USC00207320,5/31/2008,TMIN,83
USW00004848,1/20/2010,TMIN,-55
USC00200228,4/22/2011,TMIN,17
USC00208972,9/15/2007,TMAX,139
USC00200228,9/27/2005,TMIN,61
USC00208972,3/20/2012,TMAX,256
USC00207308,2/17/2007,TMIN,-167
USC00205050,1/19/2010,TMIN,-28
USC00202308,1/16/2010,TMIN,-22
USW00014853,4/19/2006,TMIN,22
USC00205451,6/26/2014,TMIN,172
USC00208202,3/13/2009,TMAX,-6
USW00094889,4/19/2011,TMAX,44
USC00207312,12/2/2010,TMAX,-11
USW00004848,12/8/2008,TMIN,-66
USW00014833,3/31/2012,TMIN,11
USC00200228,10/24/2010,TMAX,194
USC00208202,1/13/2005,TMAX,139
USC00208202,4/5/2009,TMAX,122
USC00208972,9/7/2013,TMIN,67
USC00205822,6/13/2012,TMIN,94
USW00004848,6/13/2012,TMIN,133
USC00207308,4/18/2011,TMIN,-6
USC00200228,3/9/2013,TMIN,-61
USC00208080,4/21/2011,TMIN,-22
USC00205563,8/27/2015,TMIN,106
USC00205050,2/25/2014,TMAX,-39
USC00207320,2/10/2007,TMAX,-33
USC00208972,4/9/2015,TMIN,28
USC00200228,3/9/2013,TMAX,72
USC00205822,1/23/2013,TMIN,-183
USC00205450,8/21/2005,TMIN,167
USC00205822,1/3/2009,TMIN,-72
USC00201502,7/23/2010,TMIN,211
USW00014853,5/17/2015,TMAX,300
USC00200228,10/24/2010,TMIN,89
USC00200228,5/17/2015,TMAX,256
USC00200228,7/28/2006,TMIN,189
USW00004848,4/9/2009,TMIN,-16
USW00014853,7/27/2006,TMIN,206
USC00205450,4/22/2006,TMAX,239
USC00201250,7/30/2009,TMAX,256
USC00205822,1/3/2009,TMAX,17
USC00203712,11/30/2015,TMAX,50
USC00205050,12/7/2008,TMIN,-78
USC00208202,12/5/2014,TMAX,6
USW00014853,7/27/2006,TMAX,289
USW00014833,3/27/2012,TMIN,-22
USW00004848,11/20/2007,TMAX,156
USW00094889,4/30/2008,TMAX,122
USW00014833,7/28/2006,TMIN,194
USC00200230,4/19/2011,TMAX,39
USC00200228,1/7/2012,TMIN,11
USC00201502,7/1/2010,TMAX,217
USC00200228,9/27/2005,TMAX,233
USC00205822,1/16/2013,TMIN,-78
USC00203712,3/31/2012,TMAX,33
USC00203712,10/6/2013,TMAX,250
USC00202308,6/28/2014,TMIN,178
USC00207308,2/17/2007,TMAX,-56
USC00208202,12/5/2014,TMIN,-50
USC00200842,1/18/2013,TMIN,-78
USC00202308,6/27/2014,TMIN,156
USC00201250,1/17/2013,TMAX,39
USC00201250,1/17/2013,TMIN,-72
USC00205451,4/25/2011,TMAX,167
USC00200228,4/30/2009,TMIN,67
USC00200032,12/15/2007,TMAX,-28
USC00203712,9/7/2008,TMAX,239
USC00202308,9/8/2013,TMAX,272
USC00202308,6/20/2012,TMAX,350
USW00014853,8/28/2013,TMAX,306
USC00201250,3/20/2012,TMAX,267
USC00205451,6/21/2008,TMIN,133
USC00203712,7/17/2013,TMAX,339
USC00201502,7/1/2010,TMIN,83
USW00004848,5/2/2014,TMAX,133
USC00205450,6/12/2005,TMIN,211
USC00207320,8/6/2007,TMIN,150
USC00205563,11/11/2005,TMIN,0
USC00207312,6/14/2012,TMIN,56
USC00205822,7/18/2013,TMIN,228
USC00205563,3/3/2013,TMAX,-11
USC00205450,8/21/2005,TMAX,283
USC00205451,10/5/2005,TMIN,133
USW00014853,7/25/2010,TMIN,183
USW00004848,4/28/2009,TMAX,189
USC00205050,3/26/2013,TMIN,-11
USW00014853,6/21/2012,TMIN,194
USC00207308,1/1/2006,TMAX,22
USC00200842,10/26/2010,TMAX,211
USC00208972,9/15/2007,TMIN,22
USC00207312,5/24/2008,TMAX,167
USC00207320,6/1/2011,TMIN,194
USW00004848,4/14/2006,TMAX,250
USC00200228,12/21/2006,TMAX,72
USC00205451,8/24/2013,TMAX,267
USC00205563,3/7/2010,TMAX,83
USC00203712,7/26/2009,TMAX,256
USC00200228,4/30/2009,TMAX,161
USC00205451,6/21/2008,TMAX,278
USC00208972,5/27/2015,TMIN,167
USC00205451,4/1/2015,TMIN,-17
USW00094889,8/4/2007,TMAX,294
USC00200220,4/29/2009,TMIN,56
USC00200228,8/26/2015,TMAX,189
USC00205822,9/15/2007,TMIN,50
USC00200228,6/20/2012,TMIN,183
USC00205050,6/11/2005,TMAX,300
USC00205450,7/13/2006,TMAX,294
USC00205451,4/25/2011,TMIN,78
USC00207312,10/1/2010,TMIN,33
USW00004848,10/8/2013,TMAX,200
USC00200228,8/26/2015,TMIN,117
USC00200842,1/19/2010,TMIN,-33
USC00205822,4/4/2007,TMIN,50
USW00014833,12/2/2010,TMAX,-33
USW00094889,11/12/2014,TMIN,-27
USC00205451,7/30/2006,TMAX,339
USC00200032,7/16/2009,TMIN,144
USC00202308,12/18/2005,TMIN,-122
USC00202308,6/20/2012,TMIN,211
USC00201502,2/13/2007,TMIN,-128
USC00205050,5/14/2015,TMIN,28
USW00004848,1/20/2010,TMAX,-5
USW00004848,4/19/2011,TMIN,33
USC00200032,9/3/2014,TMAX,294
USC00200230,2/27/2014,TMIN,-156
USC00200230,4/19/2011,TMIN,-6
USC00208202,2/27/2013,TMIN,-17
USC00205050,5/14/2015,TMAX,139
USC00201502,7/23/2010,TMAX,278
USC00205563,12/6/2010,TMAX,0
USC00207312,7/25/2006,TMAX,294
USC00205822,1/19/2013,TMIN,-61
USW00004848,4/12/2012,TMIN,-10
USC00208972,7/28/2009,TMAX,272
USC00205822,1/19/2013,TMAX,44
USW00094889,3/31/2007,TMAX,100
USC00207320,11/20/2007,TMIN,6
USC00205563,7/28/2006,TMIN,222
USC00208972,7/28/2009,TMIN,133
USC00205563,7/28/2006,TMAX,306
USC00201502,4/1/2015,TMIN,-39
USC00205451,7/21/2013,TMIN,183
USC00201502,4/1/2015,TMAX,83
USC00200842,8/5/2010,TMIN,200
USW00004848,4/12/2012,TMAX,156
USW00014833,3/5/2005,TMAX,33
USW00094889,8/29/2013,TMIN,183
USC00202308,7/22/2005,TMAX,311
USC00205822,8/20/2005,TMAX,317
USW00014833,3/5/2005,TMIN,-33
USC00205050,12/27/2006,TMAX,44
USC00205451,1/6/2012,TMAX,56
USW00014833,1/16/2010,TMIN,-28
USC00205822,8/20/2005,TMIN,178
USW00014833,1/16/2010,TMAX,0
USC00201502,2/5/2006,TMIN,-61
USC00200230,7/1/2010,TMAX,233
USC00200230,7/1/2010,TMIN,94
USC00205050,10/6/2013,TMIN,183
USW00014833,3/10/2010,TMAX,128
USC00205563,1/8/2014,TMIN,-250
USC00205451,12/15/2007,TMIN,-44
USW00004848,7/22/2005,TMAX,306
USC00207308,8/27/2013,TMAX,322
USC00208202,3/26/2012,TMAX,217
USC00202308,8/25/2008,TMIN,150
USC00202308,8/25/2008,TMAX,311
USC00207308,3/5/2005,TMAX,44
USC00208080,3/13/2005,TMIN,-100
USC00205050,6/19/2012,TMAX,278
USC00205451,12/10/2009,TMIN,-83
USC00200228,1/24/2010,TMAX,39
USC00205451,12/10/2009,TMAX,50
USC00205050,6/19/2012,TMIN,133
USC00207308,8/27/2013,TMIN,172
USW00094889,3/9/2010,TMIN,-43
USC00208202,3/26/2012,TMIN,0
USC00201502,2/5/2006,TMAX,-11
USC00207308,4/2/2015,TMAX,189
USC00201250,6/4/2011,TMAX,322
USW00094889,3/31/2007,TMIN,67
USC00205050,10/20/2010,TMAX,189
USC00208972,12/8/2014,TMAX,44
USC00205822,3/3/2010,TMAX,39
USC00200230,1/24/2010,TMIN,6
USC00207320,6/4/2005,TMIN,133
USC00200228,8/24/2008,TMAX,333
USC00205451,1/6/2012,TMIN,-28
USC00205451,11/18/2007,TMAX,44
USC00205822,11/24/2015,TMAX,17
USC00200230,6/19/2008,TMAX,228
USC00205563,8/27/2013,TMAX,311
USC00205451,3/26/2012,TMIN,6
USC00200842,7/28/2006,TMIN,194
USC00200228,8/24/2008,TMIN,194
USC00200842,7/28/2006,TMAX,272
USC00200228,4/1/2007,TMIN,61
USC00200230,1/24/2010,TMAX,83
USC00201250,10/6/2013,TMAX,228
USC00200032,12/18/2005,TMIN,-156
USC00200228,12/13/2015,TMAX,167
USC00205822,12/14/2007,TMAX,28
USC00200842,8/5/2010,TMAX,289
USC00205050,12/27/2006,TMIN,-17
USW00004848,7/20/2010,TMIN,222
USC00200228,5/13/2006,TMAX,89
USC00205822,5/2/2008,TMAX,156
USC00208080,8/18/2009,TMIN,161
USC00208080,8/18/2009,TMAX,294
USW00014853,3/12/2009,TMIN,-71
USC00208080,4/1/2015,TMAX,83
USC00200032,12/7/2014,TMIN,-56
USC00205822,4/1/2007,TMIN,56
USC00201502,7/15/2009,TMAX,261
USC00200032,2/8/2008,TMIN,-39
USC00200032,12/2/2010,TMIN,-28
USC00200032,12/2/2010,TMAX,11
USC00200228,7/22/2013,TMAX,289
USW00014833,12/14/2009,TMIN,6
USC00200842,8/23/2006,TMAX,278
USC00200228,12/13/2015,TMIN,89
USC00200842,8/23/2006,TMIN,122
USC00201502,7/15/2009,TMIN,122
USC00208972,9/10/2015,TMAX,244
USC00208972,9/10/2015,TMIN,100
USC00205451,3/26/2012,TMAX,222
USC00205050,10/20/2010,TMIN,0
USC00200228,5/13/2006,TMIN,44
USW00004848,7/22/2005,TMIN,206
USC00205451,2/24/2008,TMIN,-106
USC00205822,5/2/2008,TMIN,94
USC00208202,12/9/2009,TMIN,-50
USC00205050,10/30/2008,TMIN,-50
USC00201502,8/21/2005,TMAX,267
USC00207312,8/18/2009,TMAX,267
USC00205451,4/19/2011,TMIN,6
USC00202308,2/13/2007,TMIN,-106
USC00205563,3/20/2012,TMIN,89
USC00205563,1/2/2012,TMIN,-33
USC00207312,8/18/2009,TMIN,189
USC00205450,8/7/2005,TMIN,139
USC00208080,11/18/2007,TMIN,-28
USW00014853,3/21/2012,TMAX,306
USC00207320,6/4/2005,TMAX,244
USC00200230,12/12/2014,TMAX,22
USC00208972,2/2/2008,TMIN,-56
USC00201502,12/13/2009,TMAX,22
USC00205822,1/20/2010,TMAX,17
USC00208202,2/10/2008,TMIN,-133
USC00205822,11/24/2015,TMIN,-28
USC00200230,3/31/2012,TMIN,6
USW00094889,3/25/2011,TMIN,-88
USC00200032,8/29/2007,TMIN,167
USW00004848,7/20/2010,TMAX,289
USC00201250,4/11/2012,TMAX,111
USC00201502,8/27/2015,TMAX,183
USC00208080,12/19/2013,TMAX,6
USC00208202,12/9/2009,TMAX,39
USW00004848,2/8/2007,TMAX,-88
USW00004848,6/29/2015,TMIN,161
USC00200032,8/29/2007,TMAX,333
USC00200842,12/23/2006,TMAX,128
USC00203712,4/17/2011,TMAX,122
USC00200230,2/24/2008,TMAX,39
USC00200228,5/24/2008,TMAX,189
USC00208080,1/1/2006,TMIN,-6
USC00200228,5/24/2008,TMIN,22
USC00203712,12/6/2005,TMIN,-111
USC00203712,4/17/2011,TMIN,17
USC00208972,1/6/2012,TMIN,-39
USC00207312,6/5/2005,TMIN,156
USC00200228,7/26/2006,TMAX,294
USC00202308,2/13/2007,TMAX,-11
USC00205450,1/4/2006,TMAX,67
USC00205050,6/4/2011,TMIN,111
USC00200220,3/2/2009,TMAX,-50
USW00014853,3/21/2012,TMIN,111
USC00208972,2/2/2008,TMAX,-11
USC00200230,1/8/2012,TMIN,-44
USC00205050,6/4/2011,TMAX,239
USC00207320,4/22/2011,TMAX,117
USC00201250,6/19/2012,TMAX,339
USC00200228,9/3/2007,TMIN,111
USW00014833,3/10/2010,TMIN,39
USC00200220,6/21/2012,TMIN,222
USC00205451,7/21/2013,TMAX,300
USC00202308,7/22/2005,TMIN,206
USW00094889,8/29/2013,TMAX,300
USC00200220,6/21/2012,TMAX,339
USC00205563,1/8/2014,TMAX,-189
USW00094889,3/9/2010,TMAX,133
USC00200228,7/22/2013,TMIN,172
USW00014833,8/15/2015,TMIN,167
USC00200032,1/15/2012,TMIN,-89
USC00207320,12/21/2006,TMAX,72
USC00207308,12/2/2010,TMAX,-11
USC00200032,1/15/2012,TMAX,-50
USC00208080,1/1/2006,TMAX,33
USC00201250,6/19/2012,TMIN,233
USC00205451,12/15/2007,TMAX,6
USC00207320,12/21/2006,TMIN,-50
USC00207308,3/5/2005,TMIN,-94
USC00207308,12/2/2010,TMIN,-44
USC00205563,3/20/2012,TMAX,211
USW00014833,8/15/2015,TMAX,294
USC00200228,5/4/2008,TMIN,33
USC00201502,12/13/2009,TMIN,-61
USC00201250,6/4/2011,TMIN,133
USC00200230,1/8/2012,TMAX,39
USC00208080,4/1/2015,TMIN,-11
USC00200228,5/4/2008,TMAX,211
USC00201250,4/11/2012,TMIN,11
USC00201250,10/6/2013,TMIN,139
USC00208202,4/1/2012,TMAX,61
USC00200230,3/31/2012,TMAX,56
USC00207312,7/20/2010,TMIN,161
USC00205050,8/28/2015,TMAX,200
USC00205450,8/7/2005,TMAX,306
USC00207308,7/22/2010,TMIN,172
USC00200230,12/12/2014,TMIN,-28
USC00208080,12/19/2013,TMIN,-83
USC00205822,2/7/2006,TMIN,-50
USC00200230,4/20/2006,TMIN,67
USC00200230,4/20/2006,TMAX,222
USC00200228,9/3/2007,TMAX,272
USC00207320,10/24/2010,TMIN,111
USC00202308,11/5/2005,TMAX,222
USC00202308,11/5/2005,TMIN,111
USW00014853,2/13/2007,TMAX,-77
USC00200842,8/20/2009,TMIN,167
USC00208080,8/4/2007,TMAX,289
USC00205822,12/14/2007,TMIN,6
USC00208080,6/26/2014,TMIN,161
USC00201502,12/6/2010,TMIN,-56
USC00208202,12/10/2009,TMIN,-117
USC00208202,12/10/2009,TMAX,39
USC00205563,12/10/2014,TMAX,50
USC00200230,12/24/2006,TMIN,17
USC00200230,12/24/2006,TMAX,72
USC00200032,7/23/2005,TMAX,300
USC00205050,4/11/2012,TMAX,67
USC00200220,8/4/2010,TMAX,283
USW00004848,1/8/2014,TMIN,-210
USW00014853,12/6/2010,TMAX,-10
USC00207320,3/12/2005,TMAX,22
USC00207320,3/12/2005,TMIN,-56
USW00094889,3/27/2012,TMAX,106
USC00200230,2/12/2005,TMIN,-22
USC00205563,12/10/2014,TMIN,-22
USC00205451,2/24/2008,TMAX,11
USC00205451,3/7/2010,TMIN,-67
USC00205050,1/24/2010,TMIN,11
USC00200842,7/23/2010,TMAX,306
USC00203712,6/28/2010,TMIN,206
USC00205050,1/24/2010,TMAX,83
USW00014833,7/27/2006,TMAX,289
USC00201250,8/22/2014,TMIN,206
USC00207308,10/29/2010,TMIN,11
USC00205563,1/5/2015,TMAX,22
USC00207320,1/22/2010,TMAX,11
USC00205563,5/24/2008,TMIN,67
USC00205563,5/24/2008,TMAX,178
USC00201250,12/23/2015,TMAX,167
USC00207308,6/4/2011,TMAX,239
USC00200032,7/23/2005,TMIN,167
USC00207312,4/1/2007,TMIN,61
USC00208080,11/18/2007,TMAX,61
USC00208972,5/30/2008,TMAX,228
USC00208972,5/30/2008,TMIN,33
USC00201250,8/22/2014,TMAX,283
USC00207308,6/4/2011,TMIN,117
USC00200220,10/25/2010,TMIN,122
USC00207320,4/1/2012,TMAX,61
USC00205563,1/1/2006,TMAX,33
USW00014833,7/27/2006,TMIN,194
USC00205563,1/5/2015,TMIN,-139
USC00205451,1/8/2012,TMIN,-39
USC00205451,1/8/2012,TMAX,78
USW00014853,12/6/2010,TMIN,-49
USC00205451,9/2/2007,TMAX,261
USC00201502,10/3/2010,TMAX,106
USC00205451,3/7/2010,TMAX,72
